guid,entropy,max_weight,argmax_weight,min_weight,top3_concentration,gini,gt_label
081778_005998,1.964041,0.51148,1,0.000339,0.653515,0.760894,1
054718_040626,0.412375,0.938857,1,0.000277,0.954262,0.925628,1
069849_093321,3.104643,0.090287,16,0.004791,0.242745,0.34499,1
082218_052632,3.135157,0.11788,15,0.011565,0.248876,0.311105,1
091924_080634,3.128918,0.10837,24,0.011311,0.283387,0.309955,1
038362_015194,1.766463,0.501305,2,3.3e-05,0.749194,0.823623,1
021595_009190,3.134407,0.090952,10,0.003555,0.229527,0.315197,1
051780_081873,3.010086,0.102546,24,0.004468,0.302019,0.419237,1
005640_098606,3.056453,0.158168,15,0.003202,0.298633,0.360658,1
004627_080066,2.634681,0.222199,3,0.003038,0.432542,0.601759,1
006015_095108,1.063888,0.692932,2,7e-06,0.929506,0.911456,1
006015_067925,2.6075,0.270541,12,0.000839,0.508787,0.60492,1
006015_037906,0.922388,0.775113,2,1.3e-05,0.92499,0.91265,1
015336_040898,2.884483,0.095221,10,0.0,0.258006,0.442557,1
037669_025030,2.882269,0.238068,16,0.003899,0.39758,0.45016,1
085370_080634,2.720961,0.143671,5,0.001344,0.363366,0.577429,1
010715_078897,2.941996,0.110625,3,0.00018,0.304583,0.461033,1
064630_085474,2.898937,0.142672,20,0.001328,0.333725,0.486056,1
091987_092610,2.302907,0.46959,7,0.001635,0.564138,0.620128,1
046793_041994,2.664065,0.16735,4,7.5e-05,0.377174,0.594801,1
068367_024069,3.036459,0.093091,20,0.001835,0.256949,0.398282,1
093852_005796,3.013328,0.142522,15,0.002371,0.3062,0.394475,1
093852_062903,2.974647,0.121023,14,0.000731,0.297846,0.428397,1
053078_074318,2.035817,0.294892,1,0.000189,0.668485,0.782075,1
018836_030292,2.474675,0.305588,5,0.000533,0.523311,0.651764,1
066634_015867,2.152284,0.309412,3,0.000208,0.606126,0.758441,1
066634_037533,2.293673,0.212887,5,3e-06,0.455011,0.705,1
044911_096848,3.163583,0.080083,19,0.00585,0.209421,0.279783,1
050620_020241,2.905882,0.199134,18,0.002207,0.384721,0.462516,1
050424_026367,1.435795,0.596383,3,1.5e-05,0.838429,0.87412,1
044012_064613,3.009329,0.097331,5,0.003204,0.275189,0.416426,1
041409_005603,2.948655,0.1378,9,0.00049,0.315852,0.456473,1
011546_038188,2.745281,0.152106,8,3.7e-05,0.40302,0.557952,1
086367_027691,1.841815,0.381346,1,4.5e-05,0.676212,0.821785,1
086367_070543,2.032245,0.215165,1,8.8e-05,0.637022,0.781052,1
065363_066620,2.400244,0.320982,4,0.001059,0.524948,0.681304,1
053986_001749,3.080435,0.107363,22,0.005781,0.317,0.348857,1
062010_030456,3.036113,0.145992,4,0.006028,0.314968,0.391873,1
080813_060620,2.918602,0.158493,6,0.000149,0.365403,0.460265,1
017546_044901,3.155979,0.076327,15,0.006242,0.212096,0.291952,1
031877_004916,2.956443,0.140008,12,0.000518,0.316443,0.438619,1
057060_050983,3.090744,0.089362,1,0.002326,0.243984,0.351837,1
057060_034806,3.090307,0.098306,1,0.002749,0.261702,0.349979,1
057060_040447,3.142758,0.087222,26,0.003161,0.225566,0.302901,1
057060_061104,2.964531,0.103296,25,0.000896,0.279752,0.446178,1
057060_032579,3.017526,0.106127,25,0.000993,0.278381,0.407973,1
016171_015732,1.554094,0.468452,11,0.0,0.814152,0.852015,1
038490_086213,2.506657,0.260306,6,0.000476,0.470128,0.645328,1
038490_067305,2.387733,0.224705,14,0.000337,0.503553,0.700503,1
038490_005746,2.990343,0.15724,2,0.007115,0.345538,0.420666,1
038490_098561,2.571721,0.171732,9,0.000681,0.391889,0.633378,1
016663_060192,2.983801,0.153333,15,0.002718,0.299333,0.424323,1
082833_031326,2.946476,0.185744,4,0.00626,0.379797,0.423792,1
082833_081676,2.862478,0.228448,2,0.002528,0.360217,0.477095,1
054788_006861,1.467379,0.501689,9,6.9e-05,0.881877,0.868298,1
032147_060246,0.661326,0.841847,1,0.000235,0.964785,0.929882,1
032147_095835,0.6804,0.864662,1,0.000172,0.946586,0.924674,1
032147_011486,1.121317,0.671467,1,0.000175,0.920793,0.887808,1
012811_010358,2.906683,0.119331,15,0.000252,0.307157,0.480181,1
070725_077112,3.046688,0.097186,4,0.00224,0.259071,0.391214,1
092807_000713,3.043254,0.100606,16,0.003283,0.261333,0.39461,1
096288_098339,3.04372,0.115373,14,0.003609,0.282176,0.39134,1
006433_022517,2.939582,0.184396,20,0.002815,0.350006,0.445828,1
006433_098770,3.011268,0.164192,20,0.002554,0.295238,0.393351,1
085716_093850,3.116017,0.142225,19,0.007826,0.28782,0.308845,1
085716_081485,3.175911,0.072314,19,0.006635,0.209743,0.271485,1
040707_064046,3.131757,0.136989,21,0.004567,0.247915,0.291541,1
009152_076097,2.569203,0.235413,3,0.001249,0.482775,0.63088,1
053190_036106,2.584397,0.170455,2,0.000622,0.41362,0.628565,1
012738_081068,0.035886,0.996057,0,0.0,0.997043,0.961262,1
012738_044832,0.867931,0.841677,0,0.000218,0.8843,0.889452,1
024885_069669,2.621225,0.203167,4,0.002062,0.464537,0.609756,1
037074_068733,2.692932,0.204545,2,0.002364,0.416079,0.584865,1
037074_015736,2.247068,0.432834,2,0.000867,0.5997,0.691364,1
037074_021544,2.282912,0.292016,2,0.000431,0.631819,0.717314,1
042856_058258,2.627017,0.206034,1,0.000331,0.485932,0.608628,1
033339_085832,2.800933,0.234891,5,0.006042,0.44116,0.505738,1
064426_098276,2.109023,0.452076,24,0.00109,0.656879,0.73507,1
013073_025901,2.987247,0.088708,11,0.000121,0.257337,0.427849,1
015134_096867,2.942343,0.177733,15,0.004057,0.353152,0.450144,1
015134_097034,3.132674,0.123578,7,0.006859,0.241952,0.308659,1
041144_080078,3.14516,0.076625,24,0.005131,0.210211,0.294353,1
028170_037357,1.955052,0.252829,11,1e-06,0.581214,0.79132,1
026503_086844,2.744726,0.200887,11,0.000393,0.47216,0.547376,1
026503_092829,2.890645,0.110367,19,0.000293,0.310071,0.491227,1
065174_084772,2.919608,0.195708,8,0.002656,0.390297,0.440434,1
068896_092886,3.148555,0.098839,26,0.002137,0.23637,0.288803,1
068896_062829,2.971359,0.180347,3,0.002356,0.356157,0.422609,1
090586_096781,2.999669,0.167088,5,0.00995,0.351487,0.408919,1
028202_051446,3.093066,0.116091,7,0.002956,0.280869,0.339066,1
088407_098838,2.404889,0.354789,3,3e-06,0.521095,0.656094,1
088407_037357,2.060333,0.276854,2,7.5e-05,0.63547,0.780612,1
061286_095500,3.196458,0.072079,8,0.008004,0.202216,0.249227,1
061286_086756,3.066175,0.115191,10,0.00292,0.278606,0.373421,1
032925_032076,2.874211,0.177735,1,0.003671,0.405435,0.490374,1
045795_080542,1.627695,0.614225,1,9.8e-05,0.750938,0.819923,1
023154_059507,3.024858,0.108001,5,0.001539,0.276903,0.398519,1
004908_052656,2.924381,0.152116,18,0.001776,0.361017,0.462999,1
054218_020897,3.109532,0.114526,5,0.007427,0.274191,0.330056,1
083015_010920,1.961467,0.391561,4,0.000225,0.703178,0.791094,1
087913_022958,2.533867,0.240342,3,3e-05,0.449694,0.644397,1
074684_007685,1.779883,0.544886,3,3e-06,0.729393,0.805507,1
074684_019588,2.169161,0.387697,3,1.9e-05,0.647303,0.730587,1
046618_030550,2.220747,0.331555,7,0.000659,0.627124,0.738814,1
046618_068793,2.253172,0.291401,3,0.000474,0.64935,0.725676,1
044839_086447,1.782452,0.557801,1,7e-05,0.688432,0.798505,0
071730_050983,3.012518,0.104267,7,0.002875,0.271791,0.418905,0
071730_053748,3.172466,0.096945,14,0.004699,0.235579,0.269425,0
087182_006861,1.86098,0.498191,3,2e-06,0.715742,0.7959,0
074187_028057,2.695463,0.194603,6,0.0028,0.451729,0.586786,0
