guid,entropy,max_weight,argmax_weight,min_weight,top3_concentration,gini,gt_label
085679_018047,3.251517,0.050252,5,0.005791,0.14732,0.135412,1
044839_098911,1.380952,0.427692,1,4.9e-05,0.884718,0.877596,1
071730_023148,3.102428,0.083241,14,0.003011,0.222871,0.329847,1
071730_021092,1.794546,0.449267,21,0.000451,0.750726,0.82034,1
074187_077699,3.212893,0.055786,11,0.00615,0.160673,0.20992,1
018398_097174,1.153842,0.746962,0,0.000819,0.859471,0.879144,1
081778_005998,3.193201,0.065313,20,0.002186,0.184215,0.227159,1
027977_081754,3.207097,0.066098,18,0.017976,0.196415,0.23929,1
027977_015826,3.221977,0.070179,22,0.005879,0.184184,0.19938,1
022950_029840,3.190177,0.058152,13,0.004224,0.170919,0.240698,1
041762_063314,2.848707,0.122549,1,0.001123,0.329084,0.515987,1
069458_045115,3.153778,0.059119,21,0.000682,0.176386,0.258375,1
000796_073195,2.831259,0.146513,19,0.00094,0.340876,0.511325,1
000796_020252,2.953938,0.083685,18,0.001176,0.240833,0.436002,1
000796_085018,2.226954,0.277054,18,0.000167,0.600872,0.74282,1
072471_099921,3.163786,0.058661,7,0.004216,0.173828,0.26228,1
069849_020753,3.233098,0.057616,25,0.007262,0.160074,0.185222,1
069849_045699,3.118652,0.109754,4,0.004176,0.239433,0.312317,1
091924_056240,2.347995,0.241476,3,0.001157,0.590105,0.708166,1
091924_080634,3.239628,0.052968,15,0.008822,0.157475,0.168037,1
037153_024392,1.343182,0.684176,18,0.000101,0.848942,0.861409,1
034626_052273,2.68471,0.093654,26,0.000153,0.280703,0.562238,1
088031_039093,2.853021,0.129941,17,0.000978,0.335532,0.513737,1
034796_081501,3.264035,0.042889,17,0.006916,0.12785,0.09316,1
018765_008213,3.250612,0.048683,17,0.00663,0.140052,0.136634,1
018765_090466,2.427793,0.208089,21,0.000387,0.527089,0.687774,1
079472_005369,3.175715,0.079895,22,0.006869,0.217366,0.272424,1
079472_098329,2.974902,0.092153,2,0.000891,0.240629,0.425495,1
079472_088003,2.548039,0.149805,26,0.000284,0.400517,0.642055,1
079472_054359,3.256252,0.058985,22,0.011203,0.158394,0.150412,1
079472_060075,2.118068,0.25677,26,6.2e-05,0.607081,0.769859,1
019543_015461,3.166698,0.097876,17,0.005455,0.25493,0.256417,1
019543_011553,2.077085,0.264924,17,0.000208,0.655567,0.776588,1
019543_079520,3.233492,0.066341,17,0.010628,0.1804,0.191534,1
021595_009190,3.242539,0.053679,20,0.008731,0.155657,0.161405,1
091669_009549,2.978712,0.08744,22,0.001014,0.232172,0.417766,1
057742_016070,2.243861,0.270486,12,0.000237,0.586385,0.739561,1
057742_030009,2.850271,0.136471,25,0.001033,0.359228,0.516217,1
033188_069827,2.112332,0.199938,0,0.000205,0.560911,0.761526,1
051780_031630,3.234942,0.060702,6,0.006482,0.157472,0.170534,1
051780_081873,3.217616,0.063708,10,0.007927,0.18163,0.216046,1
051780_011400,3.247457,0.049751,15,0.008853,0.143518,0.144875,1
016720_093389,3.22571,0.077922,2,0.024889,0.210768,0.199683,1
016720_019013,3.253249,0.048533,12,0.005898,0.143474,0.130729,1
028873_057688,3.238221,0.049796,22,0.005604,0.146449,0.159415,1
091497_093320,3.22336,0.053034,17,0.002883,0.152496,0.175442,1
038532_000109,3.256466,0.053743,26,0.010452,0.151278,0.145659,1
006015_095108,2.452876,0.184929,12,1.9e-05,0.496324,0.6767,1
052612_009940,2.695071,0.130067,4,0.00028,0.357483,0.584105,1
093986_026274,2.309527,0.320576,0,0.00056,0.589591,0.71281,1
015336_052205,1.372558,0.541417,25,1.2e-05,0.854245,0.88723,1
015336_047832,2.714426,0.138437,26,0.000433,0.367403,0.578479,1
021092_090133,2.930615,0.103817,0,0.003044,0.291563,0.470119,1
067342_078774,3.247659,0.049131,23,0.008428,0.145894,0.154934,1
067342_065354,3.200626,0.06008,23,0.006127,0.171792,0.229982,1
065948_008718,3.204907,0.054737,13,0.005695,0.161928,0.215383,1
029110_066994,2.372891,0.206107,22,0.000258,0.535901,0.703351,1
009706_004084,3.18952,0.09076,7,0.004159,0.221286,0.23474,1
009706_081636,2.985705,0.114083,4,0.002176,0.276207,0.432413,1
085370_010458,2.285529,0.320309,8,3.6e-05,0.581111,0.720126,1
066346_086447,3.212188,0.069391,16,0.015712,0.187454,0.23223,1
004991_089214,1.110408,0.761681,0,0.001589,0.882899,0.873274,1
087638_079607,2.584591,0.203802,24,0.000252,0.448044,0.621603,1
087638_026397,3.24081,0.049115,9,0.007935,0.146188,0.165276,1
087638_084628,2.584279,0.183173,24,0.000131,0.413042,0.627455,1
087638_040919,1.576099,0.355464,23,3e-06,0.859524,0.860515,1
087638_034147,1.768189,0.273918,23,4e-06,0.719701,0.829858,1
006063_048577,2.237817,0.195257,1,0.000105,0.511793,0.734597,1
091987_099288,3.2592,0.050375,7,0.00662,0.141015,0.116876,1
081387_075558,3.191752,0.058017,8,0.003684,0.170131,0.23642,1
077998_021854,2.31348,0.177427,20,5.5e-05,0.505365,0.716348,1
042566_070467,3.022694,0.092914,17,0.001768,0.241199,0.390294,1
042566_099900,2.587944,0.129199,19,0.000267,0.38125,0.623916,1
075950_062330,2.679609,0.180242,18,0.000672,0.434326,0.593312,1
046793_041994,2.955488,0.141459,4,0.001612,0.311743,0.450607,1
046793_052712,3.196723,0.062886,4,0.009515,0.184793,0.245252,1
055420_084553,3.264574,0.043989,14,0.00727,0.130968,0.093569,1
097530_075667,2.727439,0.131085,23,0.000198,0.34363,0.569476,1
068367_074972,3.262639,0.053999,25,0.00716,0.142598,0.109581,1
