guid,entropy,max_weight,argmax_weight,min_weight,top3_concentration,gini,gt_label
071730_005622,2.8129,0.170529,18,0.000325,0.398058,0.52759,1
074187_077699,2.168758,0.282441,0,7e-05,0.646788,0.748221,1
045180_005727,1.954655,0.334023,6,4e-06,0.640661,0.79992,1
029720_021800,1.989344,0.304412,3,9.3e-05,0.720801,0.791881,1
054718_040626,3.058311,0.098561,3,0.003945,0.258146,0.378336,1
027977_015826,3.011856,0.102402,22,0.001511,0.269177,0.409373,1
058267_068992,2.746176,0.190109,0,0.000589,0.443061,0.540826,1
027172_021680,2.945719,0.12491,12,0.001149,0.303594,0.460099,1
047834_020768,2.526799,0.22727,3,0.001223,0.557934,0.630275,1
005074_081447,2.728624,0.136656,4,0.000482,0.354828,0.569443,1
034796_097118,2.73391,0.179987,2,0.000908,0.41696,0.571068,1
079472_070336,2.88525,0.129537,11,0.000354,0.32889,0.490061,1
079472_051000,2.743337,0.152223,25,0.00082,0.430341,0.562467,1
079472_033140,2.41994,0.214074,1,6e-05,0.551313,0.688557,1
079472_005369,2.39619,0.264648,21,0.000188,0.598916,0.683502,1
079472_098329,2.762611,0.128165,21,0.000612,0.377915,0.558842,1
079472_029151,2.484374,0.269987,21,0.00049,0.470023,0.660394,1
079472_043721,2.911736,0.114337,21,0.002035,0.290879,0.480263,1
079472_054359,2.916491,0.095829,11,0.000213,0.271887,0.463685,1
079472_099557,2.459139,0.224616,25,0.001051,0.555293,0.669427,1
079472_073713,2.233626,0.363966,1,0.000337,0.591281,0.730418,1
079472_098558,2.702645,0.236593,25,0.000983,0.460843,0.568469,1
079472_062210,2.27145,0.268506,23,0.000764,0.624381,0.718703,1
051780_011400,2.505527,0.224131,2,0.00024,0.424915,0.648557,1
006015_037906,2.381456,0.247684,3,4.7e-05,0.535337,0.700135,1
058738_098093,2.707678,0.225633,5,0.000158,0.385776,0.565854,1
085370_040267,2.359843,0.288333,7,7.3e-05,0.555622,0.700719,1
085370_051582,2.033954,0.409682,7,0.000104,0.65106,0.778803,1
010800_042422,2.201158,0.285896,2,4e-05,0.580442,0.750217,1
046793_041994,2.144227,0.372454,24,0.000435,0.667977,0.746049,1
066176_014898,2.943771,0.131966,13,0.002833,0.337907,0.460956,1
023153_019414,2.632619,0.139283,21,0.00037,0.369271,0.609051,1
038540_008102,2.3561,0.355469,26,0.000338,0.561554,0.686295,1
081028_066342,2.901268,0.180709,25,0.006781,0.380852,0.475155,1
066634_037533,2.871213,0.150232,10,0.001946,0.331267,0.495156,1
096824_029836,2.690547,0.129141,12,0.000279,0.356882,0.584592,1
044911_067272,2.501127,0.261125,17,0.00039,0.535622,0.652138,1
050424_026367,2.448106,0.211271,22,0.000241,0.516834,0.681609,1
026294_036644,2.445947,0.268342,15,0.00022,0.548723,0.675008,1
091674_044136,2.710317,0.222042,26,0.000601,0.424955,0.575154,1
011546_052993,2.646556,0.216115,22,0.000617,0.414242,0.604256,1
086367_070543,1.886436,0.362772,2,0.000111,0.692059,0.813039,1
065363_073407,2.544292,0.190736,3,2.8e-05,0.441393,0.647835,1
069639_020897,2.89184,0.105651,25,0.002944,0.293603,0.489605,1
069639_053611,2.777479,0.152125,12,0.000261,0.383217,0.550702,1
008466_001720,1.741914,0.419113,3,3.1e-05,0.777894,0.839512,1
065921_052142,2.556993,0.291558,20,0.001344,0.478903,0.626073,1
080813_060620,2.739095,0.189124,10,0.000295,0.413128,0.563871,1
086737_030262,2.83042,0.175113,26,0.002358,0.37006,0.521744,1
019360_095287,2.702965,0.162647,1,0.000234,0.420791,0.582587,1
069371_002912,2.519292,0.238388,9,3.4e-05,0.476789,0.649417,1
069371_060627,2.387594,0.319254,9,0.000149,0.556823,0.681819,1
038490_086213,2.3965,0.17467,26,0.000126,0.486393,0.692627,1
085203_000232,1.797944,0.427094,10,0.000247,0.766162,0.815556,1
085203_095600,2.986994,0.133799,20,0.000633,0.301141,0.425748,1
092064_003447,1.249187,0.411348,26,0.0,0.942968,0.895068,1
054788_006861,1.820221,0.480105,1,1.5e-05,0.751049,0.813999,1
069996_032757,1.928679,0.326558,5,2.5e-05,0.7176,0.804971,1
069996_092876,2.628114,0.206721,1,0.000552,0.479997,0.610115,1
069996_078292,2.117853,0.24407,6,4.3e-05,0.617,0.766593,1
063252_078292,1.929068,0.352679,3,1.5e-05,0.71867,0.808798,1
085716_093850,2.891561,0.117064,13,0.00168,0.319674,0.491739,1
085716_081485,2.828768,0.219857,13,0.000782,0.413824,0.495283,1
085716_051508,2.737198,0.175132,13,0.001116,0.408619,0.569666,1
035921_021595,2.780366,0.182736,21,0.00059,0.408182,0.542299,1
024758_093762,2.787431,0.160122,26,0.001089,0.380773,0.5469,1
015164_085934,2.595215,0.197547,19,2.7e-05,0.390687,0.619606,1
012738_044832,1.876574,0.462828,1,6.2e-05,0.700022,0.807402,1
069734_034895,1.571337,0.518622,0,1.2e-05,0.782803,0.859151,1
078219_045773,2.64483,0.199905,7,0.000587,0.490368,0.602566,1
066072_042226,2.724977,0.158434,23,0.001058,0.371993,0.575867,1
037074_068733,2.971678,0.123207,13,0.003572,0.338545,0.439995,1
037074_015736,2.80909,0.114277,5,0.000551,0.340223,0.535309,1
037074_078292,2.817277,0.220823,13,0.004165,0.423589,0.51297,1
078522_077510,2.942795,0.147498,26,0.005065,0.366329,0.452619,1
042856_058258,2.762287,0.152055,7,9.3e-05,0.355768,0.550087,1
080093_096227,2.971763,0.130152,14,0.002716,0.31657,0.445819,1
080093_017299,2.910281,0.114176,26,0.000431,0.264109,0.459431,1
021800_027638,3.105999,0.098655,26,0.00488,0.234183,0.336013,1
076697_002562,2.764888,0.202877,19,5.3e-05,0.38959,0.547995,1
064426_031324,2.103082,0.241615,2,0.000741,0.702648,0.759545,1
015134_096867,2.707324,0.169694,21,0.000108,0.400858,0.575028,1
015134_097034,3.017503,0.157179,21,0.001014,0.300731,0.398594,1
066617_015678,2.098642,0.30956,24,8.8e-05,0.69806,0.752772,1
050637_092379,2.403491,0.26739,11,0.000637,0.567445,0.688519,1
050637_041009,2.578211,0.305092,2,0.000232,0.473114,0.602802,1
068896_092886,3.092353,0.081097,14,6.2e-05,0.216907,0.336837,1
014311_060743,3.164134,0.090618,25,0.007035,0.243584,0.278204,1
088407_020158,2.097526,0.458334,1,0.001039,0.699575,0.718087,1
088407_050326,2.355046,0.379894,1,0.002563,0.577347,0.663754,1
048996_015867,2.640898,0.247429,2,0.001475,0.482962,0.597938,1
045795_050688,2.44821,0.238504,7,3e-05,0.480617,0.674541,1
045795_080542,1.501299,0.505943,7,4.8e-05,0.845721,0.852044,1
040802_033059,2.455227,0.207829,6,6.2e-05,0.489134,0.677004,1
004908_023874,2.299398,0.217518,3,1.4e-05,0.567405,0.723457,1
073124_084654,1.619234,0.550837,4,4.8e-05,0.798258,0.84459,1
054678_019593,2.822788,0.188232,26,0.000813,0.366036,0.518372,1
054678_055885,2.838952,0.165261,26,0.004657,0.346066,0.517661,1
054678_063767,2.39025,0.334175,23,0.00019,0.573778,0.679985,1
008978_052712,2.525638,0.237526,21,0.000313,0.522975,0.638503,1
002114_083862,1.419021,0.559313,2,1.1e-05,0.850625,0.874904,1
002114_034463,2.726607,0.195298,2,0.002895,0.456561,0.561657,1
056418_091295,2.925274,0.127568,24,0.001096,0.330541,0.4703,1
078666_034890,2.78758,0.226956,26,0.000804,0.38595,0.529232,1
066788_024825,3.008351,0.106659,23,0.004098,0.28985,0.420996,1
087913_098147,2.922032,0.141444,23,0.003841,0.35011,0.469314,1
053601_019127,2.429964,0.226108,3,0.000849,0.556692,0.673869,1
027440_014911,2.974915,0.096264,10,0.002414,0.281816,0.443059,1
061813_069669,2.819679,0.125816,20,0.001716,0.36522,0.53255,0
061813_014305,2.352055,0.304333,2,9.4e-05,0.545578,0.701671,0
014305_056240,2.116568,0.357048,6,0.000534,0.709045,0.751268,0
014305_081754,2.693273,0.139508,10,0.000839,0.402178,0.591343,0
074187_070190,2.905318,0.143995,26,4.8e-05,0.337146,0.482573,0
074187_076187,2.820078,0.15958,0,7.7e-05,0.372178,0.528321,0
018398_025135,2.798947,0.156524,22,0.002281,0.424567,0.536699,0
054718_029793,2.270494,0.389071,0,2.7e-05,0.574152,0.705135,0
027977_047263,2.872827,0.112549,23,0.001281,0.287405,0.49216,0
058267_078666,2.080982,0.341548,2,0.000107,0.649057,0.772792,0
038634_054286,2.97646,0.120015,21,0.000831,0.285601,0.435377,0
027172_063497,2.889044,0.140616,14,4.9e-05,0.320866,0.492527,0
000796_038533,2.874015,0.20379,24,0.003753,0.380308,0.480067,0
000796_072887,1.94145,0.261507,9,4.7e-05,0.73149,0.800979,0
069849_054423,3.050922,0.086998,0,0.003369,0.245713,0.388178,0
069849_044411,2.92592,0.12337,21,0.001674,0.322278,0.472267,0
082218_070467,2.872846,0.144014,1,0.000635,0.344242,0.49253,0
047834_066176,3.054022,0.130296,25,0.005525,0.294836,0.382542,0
097510_069669,3.058047,0.10139,17,0.005013,0.281589,0.384858,0
091924_021454,2.801713,0.155602,1,0.001379,0.393793,0.535191,0
091924_066894,2.608768,0.173265,1,0.00102,0.455339,0.625065,0
005074_027977,2.788327,0.16524,2,0.000804,0.382025,0.54452,0
034626_011303,2.80674,0.128014,10,4.9e-05,0.374708,0.533678,0
034626_062955,2.752697,0.165048,10,0.000695,0.36926,0.56227,0
093340_067027,2.405576,0.365243,17,0.001907,0.54063,0.661992,0
034796_008453,2.446167,0.2146,14,0.001039,0.51648,0.67953,0
018765_060743,2.785913,0.159477,17,0.002124,0.378817,0.548037,0
038362_052612,2.482527,0.213311,0,0.000368,0.560556,0.657801,0
056506_036934,2.919,0.107899,23,0.000365,0.304278,0.470226,0
079472_050208,2.703572,0.235466,12,0.000845,0.422764,0.574448,0
079472_031331,2.594322,0.202123,10,0.001313,0.4954,0.618767,0
079472_033039,2.911673,0.11672,21,0.005491,0.303655,0.481863,0
079472_027856,2.514137,0.242704,14,0.000827,0.473004,0.655541,0
079472_069371,2.495857,0.357365,0,0.000451,0.492917,0.617074,0
079472_003860,2.883556,0.113125,1,0.001696,0.318525,0.496725,0
079472_017828,1.713463,0.43458,0,8.9e-05,0.799503,0.810922,0
079472_086843,2.829583,0.154422,10,0.001243,0.363704,0.524533,0
079472_030893,2.732023,0.239564,25,0.001175,0.440318,0.555081,0
079472_030550,2.614977,0.196714,12,0.000254,0.439866,0.619382,0
019543_079781,2.470095,0.252345,8,4e-05,0.522571,0.662479,0
019543_036870,2.38568,0.28819,24,5.7e-05,0.557632,0.689085,0
057742_079310,3.002661,0.127448,22,0.001573,0.282167,0.410265,0
057742_060336,2.690829,0.165531,22,0.001059,0.394539,0.590882,0
048301_054423,2.856402,0.125252,12,0.000477,0.318681,0.510905,0
035500_026397,3.046448,0.120445,22,0.006659,0.304126,0.387687,0
044200_007122,2.383137,0.216548,8,0.000406,0.5332,0.700619,0
063963_098838,2.260231,0.382463,5,9.9e-05,0.586193,0.708209,0
060313_030069,2.359144,0.355621,22,0.000365,0.55167,0.684441,0
060313_083978,2.864878,0.127125,20,0.004691,0.352877,0.509518,0
037553_024082,3.058185,0.102269,4,0.00067,0.260691,0.373522,0
004157_041318,2.982776,0.137852,14,0.003154,0.316488,0.430595,0
004157_062468,2.905632,0.114713,2,0.00077,0.29912,0.483912,0
050199_065617,2.130075,0.378276,0,0.000133,0.649919,0.75126,0
078228_058204,3.008027,0.118964,22,0.003606,0.318369,0.420079,0
078228_064488,1.9433,0.256413,23,8.1e-05,0.676541,0.802815,0
002277_014029,2.639641,0.236515,7,0.000389,0.472231,0.6022,0
016720_091924,2.670779,0.163063,8,0.001594,0.439413,0.592443,0
028873_099851,2.768854,0.141799,21,0.000348,0.377584,0.554027,0
038532_060503,3.051542,0.101589,25,0.00046,0.282274,0.379125,0
006015_095238,1.685061,0.351834,8,8.5e-05,0.860187,0.834958,0
006015_093082,2.362093,0.286813,3,3.2e-05,0.580348,0.698064,0
006015_072792,2.325096,0.267199,8,3.6e-05,0.565634,0.717051,0
058738_085679,2.535173,0.190666,1,2.4e-05,0.427179,0.647321,0
058738_044714,2.547908,0.166363,5,5.1e-05,0.434225,0.644866,0
015336_004404,2.638172,0.207388,23,0.000131,0.44484,0.609411,0
