guid,entropy,max_weight,argmax_weight,min_weight,top3_concentration,gini,gt_label
071730_094164,2.211576,0.353868,17,0.0,0.640834,0.730394,1
071730_023148,2.005078,0.342295,23,0.0,0.723019,0.788955,1
071730_021092,2.072676,0.28141,25,0.0,0.66231,0.777967,1
081778_078292,1.124429,0.468547,5,0.0,0.98158,0.906549,1
054718_088223,1.933572,0.53241,7,6e-06,0.699366,0.756625,1
072471_097613,1.055517,0.748879,22,0.0,0.886351,0.904151,1
082218_052632,2.604616,0.206028,5,0.002085,0.502418,0.618073,1
038362_015194,0.891851,0.783808,14,0.0,0.922211,0.919887,1
079472_098329,2.132538,0.349285,6,0.0,0.641328,0.756494,1
079472_043721,1.188561,0.727488,6,0.0,0.857193,0.882168,1
079472_070110,1.353089,0.556649,20,5e-06,0.879608,0.886483,1
079472_036245,1.448149,0.537617,6,4e-06,0.847963,0.878612,1
079472_030711,1.269978,0.692153,20,2e-06,0.866941,0.873907,1
079472_054359,1.720421,0.470636,20,3.9e-05,0.775817,0.831088,1
079472_073713,0.577273,0.844086,20,0.0,0.990455,0.945106,1
079472_062210,1.718726,0.430891,18,0.0,0.778341,0.830485,1
079472_060075,0.989004,0.584238,20,0.0,0.959139,0.920363,1
048301_024664,2.278111,0.200893,25,0.0,0.569994,0.721046,1
004627_014338,1.600523,0.54515,17,0.0,0.777413,0.851058,1
032748_011953,1.592711,0.531375,5,0.0,0.762915,0.855947,1
053720_031105,1.518839,0.545365,14,0.0,0.822164,0.86603,1
006015_067925,1.718429,0.439617,8,5e-06,0.805179,0.837591,1
006015_037906,1.300843,0.657328,22,0.0,0.855478,0.884665,1
049124_064488,1.873651,0.521153,11,0.0,0.673792,0.784674,1
000139_046659,1.498282,0.56806,11,1e-06,0.845899,0.842858,1
010715_078897,1.940085,0.269469,22,0.0,0.684973,0.806052,1
010715_089769,1.76591,0.436016,25,0.0,0.756159,0.833399,1
087638_045167,0.742917,0.872571,19,1e-06,0.901948,0.896794,1
087638_026397,1.8102,0.534401,19,1e-06,0.723277,0.798836,1
087638_040919,0.042781,0.99454,19,0.0,0.998249,0.96196,1
087638_034147,2.084651,0.333342,20,0.0,0.706464,0.757771,1
064630_085474,2.378748,0.246068,24,2.5e-05,0.600555,0.686141,1
018836_030292,2.254013,0.332357,11,2e-06,0.5202,0.716269,1
011124_098339,1.094518,0.753337,20,0.0,0.885124,0.882861,1
081028_020631,2.103173,0.289318,6,4e-06,0.682967,0.764345,1
081028_066342,1.889833,0.517728,16,1e-06,0.654686,0.781657,1
066634_015867,1.340961,0.560709,2,0.0,0.884747,0.890566,1
059046_000796,1.423855,0.64984,12,0.0,0.845779,0.851878,1
025135_078292,1.541587,0.522924,24,2e-06,0.797894,0.864557,1
038070_065139,1.722791,0.426954,15,0.0,0.793959,0.828331,1
026294_071417,1.792339,0.380334,19,0.0,0.767811,0.824391,1
034252_049502,1.863393,0.391654,4,3.3e-05,0.775284,0.812819,1
091674_091733,1.340491,0.605049,15,5e-06,0.871949,0.883064,1
062317_078093,2.061815,0.409897,17,7e-06,0.659169,0.769177,1
