guid,entropy,max_weight,argmax_weight,min_weight,top3_concentration,gini,gt_label
071730_023148,1.808941,0.513047,4,6.8e-05,0.743304,0.809387,1
071730_040550,2.011849,0.331922,23,0.0,0.655404,0.792522,1
071730_021092,2.523021,0.295321,17,3.3e-05,0.476385,0.636697,1
061813_043887,2.633681,0.196643,14,1.7e-05,0.48125,0.606047,1
074187_077699,1.646674,0.352665,3,0.0,0.821929,0.853271,1
027977_043573,2.732128,0.13412,22,0.000373,0.390584,0.572675,1
058267_068992,2.464592,0.214414,5,0.000487,0.510984,0.67426,1
027172_021680,2.244071,0.252997,21,5.7e-05,0.637209,0.728701,1
069849_006150,2.549851,0.213453,4,0.000323,0.426501,0.641587,1
069849_074187,2.754722,0.170145,12,0.002268,0.407115,0.563355,1
006901_026367,2.044493,0.306746,20,0.0,0.623494,0.786062,1
091924_080634,2.641197,0.145979,25,0.000321,0.381964,0.608669,1
034626_050383,2.468219,0.236571,7,5.9e-05,0.458865,0.670258,1
034796_097118,2.100718,0.240807,8,1.9e-05,0.641328,0.772751,1
018765_028553,2.565202,0.196917,22,0.000447,0.485211,0.635278,1
038362_093972,0.64586,0.866565,16,2e-06,0.948684,0.93243,1
079472_070336,1.987542,0.490205,2,3.1e-05,0.63557,0.761227,1
079472_033140,2.37842,0.261898,2,2e-05,0.49635,0.699199,1
079472_004404,2.589442,0.177489,20,5.8e-05,0.409226,0.627271,1
079472_005369,2.158987,0.269252,15,0.000112,0.647912,0.748962,1
079472_043721,1.820516,0.404149,13,5.4e-05,0.777068,0.797147,1
079472_070110,1.633551,0.523595,13,8e-06,0.810829,0.846241,1
079472_088003,1.622383,0.390771,1,4.3e-05,0.841274,0.856459,1
049846_030686,1.132309,0.751903,4,5.1e-05,0.873264,0.878103,1
048301_024664,0.369374,0.920118,2,0.0,0.985952,0.952508,1
048301_012834,2.150515,0.264428,14,1.3e-05,0.611905,0.759835,1
005640_098606,2.714,0.174343,7,0.000102,0.389868,0.581098,1
004627_014338,2.362131,0.192589,7,7e-06,0.548587,0.697697,1
016720_094917,2.914736,0.127405,17,0.000287,0.327563,0.475372,1
006015_037906,2.278824,0.301617,6,1.7e-05,0.567671,0.728353,1
006015_091841,1.678087,0.559274,9,3.3e-05,0.758878,0.829536,1
093986_075157,1.906821,0.348321,6,8.9e-05,0.723229,0.809659,1
021092_060308,2.89819,0.118442,23,4.8e-05,0.318557,0.48331,1
009706_004084,1.862847,0.389643,7,5e-06,0.736087,0.819403,1
000139_046659,2.302973,0.211684,10,3.5e-05,0.519479,0.723504,1
037669_060294,2.500103,0.237627,6,0.00055,0.487567,0.661264,1
085370_051582,1.941563,0.324243,7,8.1e-05,0.700337,0.802921,1
085370_080634,1.227259,0.726779,2,6.5e-05,0.856454,0.871291,1
010715_078897,1.627206,0.568578,3,7.2e-05,0.772521,0.838484,1
010715_089769,2.347809,0.332865,14,3e-05,0.597266,0.686748,1
010715_058583,2.751849,0.165253,21,1.6e-05,0.359557,0.555667,1
006063_048744,2.410257,0.224807,5,0.000291,0.515084,0.692409,1
061698_055422,2.122513,0.355006,18,0.000123,0.710431,0.74144,1
091987_099288,1.746839,0.348097,6,1e-06,0.810948,0.832192,1
077998_068332,2.227859,0.289403,6,9.9e-05,0.604704,0.737927,1
042566_076555,2.34821,0.215598,5,0.000193,0.565379,0.710733,1
075950_062330,2.957421,0.121198,13,0.000175,0.318195,0.452091,1
013228_001725,2.574527,0.175267,12,0.000207,0.495819,0.631301,1
068367_082954,2.745252,0.170793,23,2e-06,0.417832,0.55924,1
084862_098606,2.369581,0.218082,14,0.000203,0.572938,0.700136,1
093852_062903,2.253153,0.263168,6,5.8e-05,0.637662,0.731111,1
077389_034415,2.017892,0.267726,24,0.0,0.656859,0.790507,1
053078_074318,1.638841,0.533159,13,5.3e-05,0.789297,0.846449,1
081028_020631,1.945087,0.411751,3,8e-05,0.7471,0.793658,1
081028_071568,2.278577,0.323594,3,0.000266,0.63617,0.715589,1
066634_031331,1.573205,0.399774,8,2.6e-05,0.82746,0.849972,1
066634_037533,2.601429,0.147192,16,9e-06,0.373659,0.617338,1
