group,model_A,model_B,total_pairs,acc_A,acc_B,p_A,r_A,f1_A,p_B,r_B,f1_B,b11,b10,b01,b00,statistic,p_value,exact,significant,conclusion
paragraph,v1_gru,v1_lstm,5302,0.2004903809883063,0.17144473783477931,0.07140569964777457,0.14276568501920614,0.09519743863393809,0.04674991994876721,0.09346991037131883,0.06232657417289221,799,264,110,4129,62.59090909090909,2.544251714469474e-15,False,True,v1_gru (better F1)
paragraph,v1_gru,v1_transformer,5302,0.2004903809883063,0.11976612599019237,0.07140569964777457,0.14276568501920614,0.09519743863393809,0.002881844380403458,0.005761843790012804,0.0038420490928495195,81,982,554,3685,118.70377604166667,1.2159780247822943e-27,False,True,v1_gru (better F1)
paragraph,v1_gru,v2_gru,5302,0.2004903809883063,0.11788004526593739,0.07140569964777457,0.14276568501920614,0.09519743863393809,0.001280819724623759,0.002560819462227913,0.0017075773745997861,58,1005,567,3672,121.48155216284987,2.9977594466145897e-28,False,True,v1_gru (better F1)
paragraph,v1_gru,v2_lstm,5302,0.2004903809883063,0.11712561297623539,0.07140569964777457,0.14276568501920614,0.09519743863393809,0.0006404098623118795,0.0012804097311139564,0.0008537886872998931,53,1010,568,3671,123.24524714828897,1.2323513432045607e-28,False,True,v1_gru (better F1)
paragraph,v1_gru,v2_transformer,5302,0.2004903809883063,0.12693323274236137,0.07140569964777457,0.14276568501920614,0.09519743863393809,0.008965738072366315,0.01792573623559539,0.011953041622198507,156,907,517,3722,106.26474719101124,6.451398130724316e-25,False,True,v1_gru (better F1)
paragraph,v1_gru,v3_gru,5302,0.2004903809883063,0.11788004526593739,0.07140569964777457,0.14276568501920614,0.09519743863393809,0.001280819724623759,0.002560819462227913,0.0017075773745997861,58,1005,567,3672,121.48155216284987,2.9977594466145897e-28,False,True,v1_gru (better F1)
paragraph,v1_gru,v3_lstm,5302,0.2004903809883063,0.11674839683138438,0.07140569964777457,0.14276568501920614,0.09519743863393809,0.0003202049311559398,0.0006402048655569782,0.00042689434364994653,50,1013,569,3670,124.051201011378,8.209760886627534e-29,False,True,v1_gru (better F1)
paragraph,v1_gru,v3_transformer,5302,0.2004903809883063,0.12391550358355338,0.07140569964777457,0.14276568501920614,0.09519743863393809,0.006404098623118796,0.012804097311139564,0.008537886872998932,141,922,516,3723,114.06467315716273,1.2612698784948738e-26,False,True,v1_gru (better F1)
paragraph,v1_lstm,v1_transformer,5302,0.17144473783477931,0.11976612599019237,0.04674991994876721,0.09346991037131883,0.06232657417289221,0.002881844380403458,0.005761843790012804,0.0038420490928495195,173,736,462,3931,62.21118530884808,3.08530519572631e-15,False,True,v1_lstm (better F1)
paragraph,v1_lstm,v2_gru,5302,0.17144473783477931,0.11788004526593739,0.04674991994876721,0.09346991037131883,0.06232657417289221,0.001280819724623759,0.002560819462227913,0.0017075773745997861,164,745,461,3932,66.40878938640132,3.664644184543177e-16,False,True,v1_lstm (better F1)
paragraph,v1_lstm,v2_lstm,5302,0.17144473783477931,0.11712561297623539,0.04674991994876721,0.09346991037131883,0.06232657417289221,0.0006404098623118795,0.0012804097311139564,0.0008537886872998931,159,750,462,3931,67.9612211221122,1.6674279738147578e-16,False,True,v1_lstm (better F1)
