guid,entropy,max_weight,argmax_weight,min_weight,top3_concentration,gini,gt_label
071730_005622,2.466621,0.181757,13,0.0,0.459202,0.666168,1
074187_077699,1.224749,0.636567,8,0.0,0.89861,0.898205,1
045180_005727,1.366688,0.602617,6,0.0,0.835564,0.883882,1
029720_021800,1.555148,0.480012,7,0.0,0.817425,0.866431,1
054718_040626,2.800637,0.14915,15,0.0,0.378854,0.532888,1
027977_015826,2.744198,0.211325,16,4.7e-05,0.398149,0.540911,1
058267_068992,1.722505,0.488069,16,0.0,0.716069,0.834483,1
027172_021680,1.730428,0.552767,23,1e-06,0.762592,0.817069,1
047834_020768,1.825109,0.448715,17,0.0,0.727255,0.822005,1
005074_081447,2.538378,0.146047,14,0.0,0.433902,0.644954,1
034796_097118,2.444947,0.197752,10,0.0,0.489344,0.676032,1
079472_070336,2.342942,0.200077,20,0.0,0.482736,0.705313,1
079472_051000,2.57252,0.163038,14,0.0,0.457332,0.636135,1
079472_033140,2.440814,0.212881,8,0.0,0.497239,0.678882,1
079472_005369,1.961054,0.401328,19,0.0,0.661627,0.798549,1
079472_098329,2.207247,0.271345,20,2e-06,0.551445,0.74686,1
079472_029151,2.488369,0.209399,25,0.0,0.525712,0.654218,1
079472_043721,2.839642,0.111087,24,0.000301,0.317013,0.513022,1
079472_054359,2.141578,0.213427,23,2e-06,0.600268,0.76018,1
079472_099557,2.306731,0.245064,8,0.0,0.563111,0.712203,1
079472_073713,1.760549,0.484895,8,0.0,0.701379,0.828034,1
079472_098558,2.597369,0.181758,21,1.1e-05,0.487855,0.618703,1
079472_062210,2.485751,0.227156,7,3e-06,0.504718,0.667106,1
051780_011400,1.756483,0.416469,14,0.0,0.758241,0.837579,1
006015_037906,1.127182,0.628943,12,0.0,0.945181,0.909608,1
058738_098093,1.68027,0.365213,14,0.0,0.83349,0.845719,1
085370_040267,0.883418,0.780938,18,0.0,0.91141,0.9229,1
085370_051582,0.818172,0.583531,13,0.0,0.983863,0.92803,1
010800_042422,1.56543,0.502623,15,0.0,0.826078,0.863497,1
046793_041994,2.056558,0.339453,21,1e-06,0.677826,0.781603,1
066176_014898,2.337322,0.245841,8,2.3e-05,0.592603,0.709139,1
023153_019414,2.519356,0.172416,20,1e-06,0.421082,0.649366,1
038540_008102,2.537465,0.232711,26,5.6e-05,0.474467,0.646765,1
081028_066342,2.09629,0.311577,25,1.1e-05,0.622759,0.772977,1
066634_037533,2.125404,0.191322,25,0.0,0.539954,0.756203,1
096824_029836,1.87162,0.444074,23,0.0,0.693505,0.812597,1
044911_067272,2.127771,0.358688,9,6e-06,0.661724,0.760003,1
050424_026367,2.015295,0.345551,9,0.0,0.65317,0.788602,1
026294_036644,2.166375,0.18937,15,0.0,0.54639,0.752191,1
091674_044136,2.169977,0.203157,19,2e-05,0.573093,0.753705,1
011546_052993,2.34425,0.226471,14,2e-06,0.533524,0.712211,1
086367_070543,1.616948,0.3903,22,0.0,0.7864,0.858382,1
065363_073407,1.399492,0.568569,14,0.0,0.827919,0.881923,1
069639_020897,2.627529,0.148139,22,0.000296,0.407135,0.614937,1
069639_053611,2.623995,0.212363,26,4e-06,0.438373,0.614663,1
008466_001720,1.573331,0.474259,9,0.0,0.838355,0.859283,1
065921_052142,1.310644,0.619709,26,0.0,0.871917,0.889928,1
080813_060620,2.212321,0.332031,15,0.0,0.577933,0.739198,1
086737_030262,2.033671,0.402196,26,5e-06,0.607309,0.774796,1
019360_095287,2.295556,0.313775,4,1e-06,0.570672,0.71842,1
069371_002912,2.119049,0.349503,15,0.0,0.620331,0.765203,1
069371_060627,1.31022,0.438247,17,0.0,0.943263,0.890624,1
038490_086213,0.875033,0.737427,21,0.0,0.927113,0.927184,1
085203_000232,1.622631,0.356147,18,0.0,0.800768,0.857242,1
085203_095600,1.836641,0.34269,13,0.0,0.732152,0.826924,1
092064_003447,1.063998,0.581624,18,0.0,0.956719,0.916831,1
054788_006861,0.24246,0.96251,19,0.0,0.977668,0.952061,1
069996_032757,1.282681,0.591738,25,0.0,0.873479,0.896745,1
069996_092876,1.518422,0.436747,11,0.0,0.848213,0.871694,1
069996_078292,0.672994,0.861549,11,0.0,0.918861,0.928798,1
063252_078292,1.488024,0.533725,23,0.0,0.838906,0.867725,1
085716_093850,1.342857,0.689345,19,2e-06,0.811104,0.862833,1
085716_081485,2.192606,0.239168,19,0.0,0.632823,0.748768,1
085716_051508,2.346564,0.327783,8,4e-06,0.580953,0.679477,1
035921_021595,1.227228,0.609261,11,0.0,0.88059,0.898965,1
024758_093762,1.904905,0.405775,25,0.0,0.701744,0.811026,1
015164_085934,1.571275,0.561553,9,0.0,0.76652,0.853413,1
012738_044832,1.85106,0.316941,17,0.0,0.724912,0.823735,1
069734_034895,1.65556,0.336103,1,0.0,0.802546,0.850869,1
078219_045773,0.706259,0.844918,16,0.0,0.953046,0.928852,1
066072_042226,1.572268,0.479978,26,0.0,0.816589,0.864723,1
037074_068733,1.857456,0.424452,13,2e-06,0.742473,0.808748,1
037074_015736,2.133576,0.375958,20,0.0,0.633515,0.75488,1
037074_078292,2.541422,0.279836,13,0.000279,0.510789,0.632211,1
078522_077510,2.608568,0.312954,26,3e-05,0.486468,0.578202,1
042856_058258,2.462758,0.165024,26,0.0,0.441465,0.667009,1
080093_096227,0.332791,0.94703,20,0.0,0.967698,0.945308,1
080093_017299,0.637833,0.864228,20,0.0,0.955972,0.934992,1
021800_027638,2.734196,0.169247,26,9e-06,0.444184,0.552371,1
076697_002562,1.241698,0.693635,16,0.0,0.867643,0.885434,1
064426_031324,1.935145,0.508474,17,0.0,0.663772,0.772285,1
015134_096867,1.532753,0.607106,19,0.0,0.761374,0.849337,1
015134_097034,2.288134,0.388288,7,3.2e-05,0.575658,0.700772,1
066617_015678,1.048666,0.715918,13,1e-06,0.919953,0.909777,1
050637_092379,1.841861,0.322839,5,0.0,0.68224,0.818694,1
050637_041009,1.760317,0.502875,16,0.0,0.7499,0.824205,1
068896_092886,2.545841,0.190745,19,0.0,0.458678,0.641017,1
014311_060743,2.443439,0.402766,23,0.000229,0.542236,0.604419,1
088407_020158,1.982892,0.363118,13,4.9e-05,0.682362,0.796673,1
088407_050326,1.045863,0.632952,13,2e-06,0.956864,0.917226,1
048996_015867,1.578188,0.580343,16,1.1e-05,0.81749,0.840023,1
045795_050688,1.290899,0.538416,13,0.0,0.863385,0.894549,1
045795_080542,0.246065,0.957034,13,0.0,0.983193,0.955329,1
040802_033059,2.041684,0.272619,15,0.0,0.633048,0.785721,1
004908_023874,1.928196,0.403621,16,0.0,0.624701,0.794843,1
073124_084654,1.236699,0.673786,23,0.0,0.858364,0.892022,1
054678_019593,1.948579,0.335019,11,2.2e-05,0.723275,0.803333,1
054678_055885,2.521674,0.228617,26,1.5e-05,0.485866,0.654848,1
054678_063767,2.41767,0.18584,20,0.0,0.520619,0.687293,1
008978_052712,1.737601,0.490143,11,0.0,0.780581,0.823703,1
002114_083862,0.966847,0.787644,5,0.0,0.891246,0.906073,1
002114_034463,1.400123,0.492511,23,0.0,0.868228,0.878095,1
056418_091295,1.985558,0.366472,25,0.0,0.722039,0.792553,1
078666_034890,2.061605,0.273759,21,1e-06,0.635933,0.781739,1
066788_024825,2.81996,0.187149,25,0.000117,0.400564,0.517631,1
087913_098147,2.294554,0.349454,26,3e-06,0.571615,0.706669,1
053601_019127,1.193765,0.720743,25,0.0,0.859926,0.884283,1
027440_014911,2.647054,0.206551,5,1.2e-05,0.447083,0.601077,1
061813_069669,2.315623,0.40788,3,2.3e-05,0.603055,0.662959,0
061813_014305,2.068847,0.393076,23,1e-06,0.693682,0.765254,0
014305_056240,1.143216,0.669414,6,2.3e-05,0.917062,0.9016,0
014305_081754,2.267904,0.286883,21,2e-06,0.528273,0.727626,0
074187_070190,2.358118,0.213598,26,0.0,0.539535,0.706999,0
074187_076187,2.08882,0.209307,26,0.0,0.567935,0.770521,0
018398_025135,1.650504,0.358297,22,2.2e-05,0.807557,0.846839,0
054718_029793,1.960016,0.359795,9,0.0,0.731698,0.795417,0
027977_047263,2.67851,0.144963,22,7e-05,0.349348,0.577462,0
058267_078666,0.891802,0.756243,26,0.0,0.950722,0.924602,0
038634_054286,1.919029,0.489715,9,4e-06,0.705684,0.780294,0
027172_063497,2.361484,0.210675,15,0.0,0.518214,0.705461,0
000796_038533,2.279866,0.265259,16,1e-05,0.554671,0.730185,0
000796_072887,2.006228,0.228871,25,0.0,0.588746,0.785566,0
069849_054423,2.164098,0.477484,17,0.000468,0.619307,0.698989,0
069849_044411,2.302099,0.271354,24,0.000133,0.635516,0.7047,0
082218_070467,2.363329,0.208346,16,0.0,0.512531,0.703813,0
047834_066176,2.450324,0.339226,25,0.000106,0.493613,0.651627,0
097510_069669,2.721984,0.221393,24,9e-05,0.450125,0.563639,0
091924_021454,2.518098,0.238206,6,0.0,0.468009,0.651433,0
091924_066894,1.348049,0.704545,8,0.0,0.809049,0.849968,0
005074_027977,2.040806,0.268884,23,0.0,0.653928,0.785884,0
034626_011303,2.767244,0.143326,18,1e-06,0.355615,0.542445,0
034626_062955,2.414125,0.200506,18,0.0,0.519659,0.68592,0
093340_067027,2.662298,0.146805,9,0.0,0.388463,0.600086,0
034796_008453,1.741357,0.472806,22,0.0,0.726666,0.833676,0
018765_060743,2.051147,0.385769,20,0.0,0.691185,0.775966,0
038362_052612,1.857072,0.445398,26,0.0,0.717471,0.815746,0
056506_036934,2.33662,0.1994,24,0.0,0.445788,0.698081,0
079472_050208,2.449706,0.222256,18,0.0,0.540808,0.672458,0
079472_031331,2.345091,0.281906,4,0.000151,0.63795,0.678981,0
079472_033039,2.828429,0.15664,25,0.000665,0.36931,0.519285,0
079472_027856,2.548508,0.188246,6,1e-06,0.483249,0.646455,0
079472_069371,2.122818,0.311515,18,2e-06,0.677948,0.764054,0
079472_003860,2.670188,0.236168,18,5.7e-05,0.471495,0.572224,0
079472_017828,2.355085,0.234361,20,0.0,0.519723,0.707833,0
079472_086843,2.740839,0.210352,3,0.000224,0.409902,0.552591,0
079472_030893,2.491738,0.247341,14,1.5e-05,0.522308,0.661344,0
079472_030550,2.538294,0.275243,6,0.0,0.463334,0.625447,0
019543_079781,1.680157,0.49001,16,2e-06,0.776418,0.844141,0
019543_036870,1.901162,0.31504,23,0.0,0.704538,0.808111,0
057742_079310,2.371883,0.253475,24,6.3e-05,0.560699,0.701087,0
057742_060336,2.302727,0.310443,9,0.0,0.586147,0.715116,0
048301_054423,1.975574,0.471801,3,0.0,0.660792,0.776097,0
035500_026397,2.474885,0.328316,7,1.3e-05,0.510519,0.643223,0
044200_007122,1.890687,0.442243,12,2e-06,0.708559,0.808782,0
063963_098838,2.137744,0.28232,14,0.0,0.630325,0.763462,0
060313_030069,2.392037,0.206259,22,0.0,0.525035,0.699192,0
060313_083978,2.078206,0.397525,25,7.9e-05,0.695214,0.760338,0
037553_024082,2.699805,0.165051,23,6e-05,0.415144,0.580018,0
004157_041318,2.704132,0.232696,22,1.8e-05,0.394847,0.56474,0
004157_062468,2.428921,0.20964,25,0.0,0.490204,0.678747,0
050199_065617,1.497107,0.581079,11,0.0,0.79945,0.866127,0
078228_058204,2.537541,0.335755,25,0.000375,0.516097,0.608967,0
078228_064488,0.252664,0.951645,6,0.0,0.990838,0.956261,0
002277_014029,2.450734,0.237539,17,3e-06,0.519697,0.676608,0
016720_091924,2.52245,0.243991,24,0.0001,0.502787,0.653106,0
028873_099851,2.675393,0.202765,4,0.0,0.476315,0.585139,0
038532_060503,2.616469,0.1881,19,1.7e-05,0.429072,0.620885,0
006015_095238,1.425959,0.461292,12,0.0,0.866058,0.880388,0
006015_093082,0.684066,0.741689,12,0.0,0.984156,0.939144,0
006015_072792,0.813331,0.779034,19,0.0,0.941274,0.931518,0
058738_085679,1.742456,0.418802,22,0.0,0.711472,0.837209,0
058738_044714,0.69984,0.759,23,0.0,0.981322,0.939179,0
015336_004404,1.914821,0.361446,23,1e-06,0.722685,0.809427,0
032968_045502,1.789515,0.455983,24,3.3e-05,0.781668,0.823996,0
049124_073614,1.025695,0.625651,15,3e-06,0.938407,0.912141,0
049124_059578,0.955315,0.706068,15,0.0,0.964679,0.92115,0
067342_015923,1.313746,0.481317,25,0.0,0.903955,0.891098,0
065948_059046,1.468369,0.456446,17,0.0,0.856437,0.874644,0
009706_088137,2.408851,0.289876,12,1.5e-05,0.579048,0.66488,0
084297_087052,2.325109,0.321784,25,2.5e-05,0.576239,0.706235,0
084297_081447,2.202336,0.299961,11,2e-06,0.570302,0.746294,0
085370_022101,1.113415,0.483488,5,0.0,0.950504,0.907768,0
085370_049129,0.441891,0.920548,13,0.0,0.956336,0.942285,0
010800_030292,1.923349,0.334228,21,0.0,0.682619,0.809654,0
004991_046675,2.710272,0.13287,6,2.2e-05,0.388672,0.574163,0
010715_092196,0.978308,0.481989,4,0.0,0.967679,0.910231,0
087638_061984,2.033309,0.24656,21,5e-06,0.691092,0.775006,0
091987_010800,2.69297,0.229194,12,6.7e-05,0.460546,0.5755,0
091987_091113,2.337292,0.419538,24,1.8e-05,0.564934,0.652426,0
077998_077389,2.349764,0.243641,21,0.0,0.520584,0.708058,0
046793_054718,2.454429,0.161626,15,1.2e-05,0.448914,0.672618,0
021198_089351,2.61483,0.222665,11,0.000306,0.463734,0.615861,0
068367_071722,2.294376,0.414803,17,3.4e-05,0.549158,0.676306,0
068367_052656,2.815873,0.127679,9,6e-06,0.340387,0.527915,0
084862_045307,2.271542,0.256211,12,0.0,0.563543,0.733137,0
066634_001630,1.64767,0.350966,20,0.0,0.747056,0.850962,0
066634_076798,1.276893,0.516212,20,0.0,0.89152,0.896895,0
058597_085679,2.084318,0.431453,10,3e-06,0.689805,0.740969,0
020158_008718,2.338463,0.212187,9,2e-06,0.613813,0.701654,0
020158_084478,2.632867,0.179454,7,4.9e-05,0.45941,0.6111,0
044911_093837,1.852658,0.383789,26,0.0,0.739676,0.820552,0
050620_066788,1.772909,0.362368,16,0.0,0.780925,0.834804,0
050424_063405,1.615679,0.425418,21,0.0,0.82173,0.859854,0
026294_064352,2.279365,0.241396,5,0.0,0.599422,0.725337,0
026294_093897,0.755413,0.846637,19,0.0,0.922669,0.920703,0
091674_031877,2.238431,0.259425,17,0.0,0.48128,0.726577,0
062317_099073,2.76512,0.171794,23,2.2e-05,0.404377,0.549416,0
084985_085176,1.924531,0.469386,15,0.0,0.678549,0.793279,0
056908_045115,2.796453,0.20162,18,0.000213,0.44048,0.513777,0
056908_036245,2.897085,0.181909,14,0.000255,0.384139,0.461842,0
069639_035968,2.503528,0.143061,17,2e-06,0.36902,0.640961,0
069639_065766,2.03537,0.289282,25,1.1e-05,0.61717,0.787066,0
073342_084655,2.046871,0.272113,19,6.9e-05,0.658784,0.782115,0
040929_081336,2.75396,0.171182,24,6e-05,0.366943,0.557765,0
006029_053391,2.210644,0.288948,7,9e-06,0.623606,0.739912,0
073600_094081,0.904108,0.752827,17,0.0,0.952073,0.924243,0
073600_043447,2.693126,0.172781,4,0.0,0.403346,0.582347,0
086737_020753,2.427976,0.175976,20,0.0,0.481281,0.682264,0
018129_050326,0.569977,0.88812,15,0.0,0.957548,0.935538,0
000068_045758,2.614972,0.126159,23,0.0,0.33923,0.597717,0
000068_091497,2.300609,0.285011,23,2e-06,0.510409,0.716931,0
000068_035793,1.705109,0.327715,10,0.0,0.822614,0.84083,0
000068_033943,2.411417,0.300207,21,0.0,0.482806,0.674379,0
010368_093269,1.647387,0.421199,12,0.0,0.7603,0.855212,0
010368_096865,2.488491,0.154824,4,0.0,0.41586,0.65864,0
040117_076555,2.16213,0.285454,19,4e-05,0.654765,0.757304,0
031877_067085,2.138622,0.351369,5,0.0,0.638506,0.757318,0
031877_057742,2.730446,0.155729,22,1e-06,0.400198,0.570924,0
031877_027638,2.790812,0.152222,21,2.1e-05,0.374164,0.539532,0
031877_015164,2.333313,0.231135,25,0.0,0.51051,0.711932,0
057060_058429,0.856964,0.631104,16,0.0,0.976948,0.929167,0
057060_004596,0.416999,0.909548,16,0.0,0.985605,0.950271,0
057060_084772,0.70353,0.825408,9,0.0,0.955793,0.936404,0
057060_039591,0.919461,0.571248,16,0.0,0.969007,0.916995,0
057060_020631,0.639794,0.845482,16,0.0,0.957179,0.940311,0
008855_065441,1.979655,0.467775,18,1e-05,0.657334,0.776329,0
008855_062330,2.553,0.279564,18,0.000141,0.505883,0.625163,0
008855_096586,2.519548,0.190804,9,0.0,0.459575,0.65481,0
016171_012811,1.270571,0.534628,21,1e-06,0.88546,0.897618,0
016171_067481,1.413642,0.620058,26,0.0,0.830045,0.867123,0
022946_044852,0.978916,0.491208,6,7e-06,0.965475,0.911263,0
022946_064613,1.010219,0.736392,6,0.0,0.896767,0.913236,0
069371_036297,2.529251,0.148052,25,1.2e-05,0.425463,0.649244,0
069371_064613,2.161655,0.34542,17,3e-06,0.597291,0.753839,0
069371_000109,1.575866,0.458773,17,0.0,0.796177,0.864545,0
038490_018731,1.31848,0.472395,13,0.0,0.913387,0.892292,0
038490_000196,1.485257,0.488523,21,0.0,0.800501,0.873431,0
080053_027448,2.412177,0.275534,22,5e-06,0.485753,0.679192,0
082833_002342,1.451138,0.552604,22,0.0,0.836016,0.875985,0
092064_038997,2.070525,0.369377,18,0.0,0.579323,0.766793,0
092064_074385,2.39554,0.18991,16,0.0,0.449461,0.681619,0
069996_003396,1.444119,0.55387,19,0.0,0.838591,0.878567,0
