guid,entropy,max_weight,argmax_weight,min_weight,top3_concentration,gini,gt_label
071730_094164,2.831425,0.223924,1,0.002777,0.381422,0.504624,1
071730_023148,2.17159,0.365974,1,0.002366,0.697614,0.728773,1
071730_021092,2.799071,0.19501,11,0.000142,0.365843,0.521195,1
081778_078292,1.719724,0.388851,1,0.0,0.742365,0.843704,1
054718_088223,1.921318,0.54639,24,0.001025,0.704246,0.749687,1
072471_097613,2.418635,0.205875,14,0.0,0.505484,0.688893,1
082218_052632,2.925149,0.195704,0,0.004332,0.374115,0.443118,1
038362_015194,1.288361,0.62742,5,0.0,0.870018,0.883765,1
079472_098329,2.892104,0.138922,4,0.00114,0.314476,0.488018,1
079472_043721,3.033046,0.114013,6,0.002197,0.302281,0.396597,1
079472_070110,1.943147,0.319112,19,1e-06,0.682282,0.806026,1
079472_036245,2.524333,0.215833,3,0.000775,0.462133,0.654433,1
079472_030711,2.378798,0.220504,13,0.000809,0.585857,0.696855,1
079472_054359,3.01933,0.141389,12,0.008317,0.303806,0.408992,1
079472_073713,2.440794,0.204729,14,1.5e-05,0.532178,0.679875,1
079472_062210,2.727943,0.180679,11,0.001042,0.431308,0.568923,1
079472_060075,2.265103,0.234394,16,3e-06,0.607725,0.730942,1
048301_024664,2.95772,0.141268,8,0.00153,0.331808,0.449773,1
004627_014338,2.214396,0.392987,0,0.001311,0.644244,0.720364,1
032748_011953,2.067243,0.31262,2,0.0,0.618973,0.778176,1
053720_031105,2.305351,0.267373,2,6e-06,0.52362,0.721092,1
006015_067925,1.807596,0.40097,1,6.1e-05,0.749984,0.82498,1
006015_037906,2.218255,0.218962,21,0.0,0.573826,0.741196,1
049124_064488,2.007438,0.349518,0,0.00049,0.744296,0.776006,1
000139_046659,2.808644,0.16599,8,0.002546,0.381307,0.534557,1
010715_078897,1.642595,0.514008,1,0.0,0.810902,0.83714,1
010715_089769,0.903332,0.480427,3,0.0,0.996518,0.919322,1
087638_045167,3.043636,0.136136,19,0.002517,0.274859,0.374535,1
087638_026397,2.315718,0.3073,4,4e-06,0.600983,0.706665,1
087638_040919,2.5223,0.110964,14,0.0,0.329963,0.616936,1
087638_034147,2.675354,0.091687,9,0.0,0.256652,0.532432,1
064630_085474,2.035498,0.518385,20,3.4e-05,0.655697,0.722331,1
018836_030292,2.580863,0.261344,11,8.8e-05,0.520497,0.616624,1
011124_098339,2.247046,0.291699,19,0.001272,0.63924,0.711069,1
081028_020631,2.467411,0.210801,2,1.8e-05,0.439621,0.669569,1
081028_066342,2.682162,0.18017,14,0.000241,0.438738,0.586961,1
066634_015867,0.503566,0.866189,23,0.0,0.985278,0.947925,1
059046_000796,3.034642,0.14059,26,0.001538,0.298776,0.38977,1
025135_078292,2.735949,0.156348,15,0.000162,0.41861,0.568544,1
038070_065139,2.50299,0.167992,1,1e-06,0.472093,0.660664,1
026294_071417,2.341538,0.350323,11,0.000119,0.619711,0.669296,1
034252_049502,1.496266,0.672859,7,0.000237,0.776662,0.821177,1
091674_091733,2.713165,0.209134,2,0.002422,0.467049,0.570385,1
062317_078093,2.599877,0.208177,13,0.000163,0.499172,0.621517,1
086367_070543,1.721604,0.450989,5,0.0,0.728103,0.839777,1
065363_073407,3.067228,0.110713,8,2.3e-05,0.248747,0.362152,1
069639_078194,2.887656,0.135593,2,0.001402,0.392562,0.486641,1
069639_080816,3.046079,0.086972,22,0.002557,0.250366,0.384356,1
073342_062547,2.528395,0.357662,16,0.001884,0.554174,0.548206,1
008466_001720,1.202981,0.737099,3,0.0,0.831393,0.873715,1
006029_072514,2.401814,0.367067,17,0.000309,0.554389,0.656858,1
080813_060620,2.504554,0.260989,5,0.001126,0.556813,0.6453,1
027669_000490,2.908042,0.124083,2,0.001314,0.298754,0.475325,1
027669_030162,2.920369,0.15353,16,0.002051,0.338761,0.472197,1
000068_035968,3.126482,0.088436,2,0.008848,0.254204,0.324771,1
010368_043572,2.26992,0.180289,7,1e-06,0.490378,0.725722,1
040117_058709,2.049949,0.378927,3,0.0,0.668348,0.779349,1
031877_019515,2.826114,0.137111,12,0.000368,0.381155,0.528655,1
057060_007412,2.970456,0.154331,4,0.000209,0.356026,0.420344,1
011473_033359,1.888819,0.407892,2,1.7e-05,0.712111,0.811194,1
069371_060627,2.346251,0.252955,9,1e-06,0.520264,0.710045,1
069371_062955,2.316925,0.250476,2,0.0,0.53638,0.717041,1
069371_040497,2.419614,0.160882,3,3.8e-05,0.451452,0.683508,1
016663_099073,2.68769,0.128343,18,0.000256,0.342132,0.582927,1
082833_031326,1.927501,0.424395,3,0.000809,0.766117,0.785833,1
082833_018782,2.899541,0.193508,3,0.002806,0.350947,0.469473,1
